category,group,measure
0,All,279858
1,All,249621
2,All,284479
3,All,261742
4,All,282121
5,All,300839
6,All,335611
7,All,410872
8,All,449335
9,All,582519
10,All,659535
11,All,640743
12,All,637963
13,All,647941
14,All,643314
15,All,639022
16,All,638646
17,All,592022
18,All,336580
19,All,257946
20,All,242416
21,All,445630
22,All,371318
23,All,337601
0,SpecialRandom,148349
1,SpecialRandom,128287
2,SpecialRandom,164461
3,SpecialRandom,128454
4,SpecialRandom,158416
5,SpecialRandom,185385
6,SpecialRandom,213927
7,SpecialRandom,267281
8,SpecialRandom,269668
9,SpecialRandom,323737
10,SpecialRandom,338899
11,SpecialRandom,306566
12,SpecialRandom,302156
13,SpecialRandom,306142
14,SpecialRandom,285111
15,SpecialRandom,267120
16,SpecialRandom,272678
17,SpecialRandom,244523
18,SpecialRandom,312
19,SpecialRandom,1011
20,SpecialRandom,777
21,SpecialRandom,213716
22,SpecialRandom,163903
23,SpecialRandom,164798
0,SpecialSearch,544
1,SpecialSearch,820
2,SpecialSearch,1221
3,SpecialSearch,1330
4,SpecialSearch,1509
5,SpecialSearch,1469
6,SpecialSearch,1577
7,SpecialSearch,1592
8,SpecialSearch,1737
9,SpecialSearch,1827
10,SpecialSearch,1801
11,SpecialSearch,1658
12,SpecialSearch,1902
13,SpecialSearch,2299
14,SpecialSearch,2539
15,SpecialSearch,2742
16,SpecialSearch,2428
17,SpecialSearch,1687
18,SpecialSearch,1234
19,SpecialSearch,840
20,SpecialSearch,596
21,SpecialSearch,509
22,SpecialSearch,488
23,SpecialSearch,523
0,WikipediaHauptseite,28547
1,WikipediaHauptseite,15991
2,WikipediaHauptseite,9920
3,WikipediaHauptseite,6961
4,WikipediaHauptseite,5771
5,WikipediaHauptseite,6728
6,WikipediaHauptseite,16230
7,WikipediaHauptseite,36504
8,WikipediaHauptseite,61940
9,WikipediaHauptseite,75789
10,WikipediaHauptseite,83631
11,WikipediaHauptseite,87795
12,WikipediaHauptseite,92459
13,WikipediaHauptseite,92609
14,WikipediaHauptseite,98823
15,WikipediaHauptseite,99904
16,WikipediaHauptseite,95723
17,WikipediaHauptseite,93705
18,WikipediaHauptseite,89595
19,WikipediaHauptseite,90623
20,WikipediaHauptseite,95918
21,WikipediaHauptseite,87684
22,WikipediaHauptseite,67779
23,WikipediaHauptseite,46976
0,Pagina_principale,28795
1,Pagina_principale,23311
2,Pagina_principale,20267
3,Pagina_principale,18990
4,Pagina_principale,17950
5,Pagina_principale,18186
6,Pagina_principale,19087
7,Pagina_principale,21560
8,Pagina_principale,28423
9,Pagina_principale,36033
10,Pagina_principale,40624
11,Pagina_principale,43539
12,Pagina_principale,43670
13,Pagina_principale,42411
14,Pagina_principale,49137
15,Pagina_principale,53031
16,Pagina_principale,53136
17,Pagina_principale,53276
18,Pagina_principale,53070
19,Pagina_principale,51530
20,Pagina_principale,47225
21,Pagina_principale,46604
22,Pagina_principale,43102
23,Pagina_principale,37492
0,WikipediaPortada,54919
1,WikipediaPortada,51745
2,WikipediaPortada,45248
3,WikipediaPortada,38238
4,WikipediaPortada,30992
5,WikipediaPortada,21921
6,WikipediaPortada,16543
7,WikipediaPortada,10889
8,WikipediaPortada,9795
9,WikipediaPortada,11694
10,WikipediaPortada,14527
11,WikipediaPortada,16079
12,WikipediaPortada,20350
13,WikipediaPortada,23622
14,WikipediaPortada,27767
15,WikipediaPortada,37195
16,WikipediaPortada,45308
17,WikipediaPortada,47694
18,WikipediaPortada,51776
19,WikipediaPortada,54939
20,WikipediaPortada,54979
21,WikipediaPortada,55700
22,WikipediaPortada,59366
23,WikipediaPortada,60417
0,_Bradley2c_Jr,0
1,_Bradley2c_Jr,0
2,_Bradley2c_Jr,0
3,_Bradley2c_Jr,0
4,_Bradley2c_Jr,0
5,_Bradley2c_Jr,0
6,_Bradley2c_Jr,0
7,_Bradley2c_Jr,0
8,_Bradley2c_Jr,0
9,_Bradley2c_Jr,47283
10,_Bradley2c_Jr,88607
11,_Bradley2c_Jr,89037
12,_Bradley2c_Jr,87529
13,_Bradley2c_Jr,85521
14,_Bradley2c_Jr,82136
15,_Bradley2c_Jr,80476
16,_Bradley2c_Jr,70126
17,_Bradley2c_Jr,53611
18,_Bradley2c_Jr,42041
19,_Bradley2c_Jr,5253
20,_Bradley2c_Jr,0
21,_Bradley2c_Jr,0
22,_Bradley2c_Jr,0
23,_Bradley2c_Jr,0
0,A9diaAccueil_principal,17119
1,A9diaAccueil_principal,11444
2,A9diaAccueil_principal,8537
3,A9diaAccueil_principal,6484
4,A9diaAccueil_principal,5151
5,A9diaAccueil_principal,4570
6,A9diaAccueil_principal,5666
7,A9diaAccueil_principal,9736
8,A9diaAccueil_principal,18225
9,A9diaAccueil_principal,26150
10,A9diaAccueil_principal,30617
11,A9diaAccueil_principal,34791
12,A9diaAccueil_principal,29169
13,A9diaAccueil_principal,35837
14,A9diaAccueil_principal,41027
15,A9diaAccueil_principal,42474
16,A9diaAccueil_principal,43304
17,A9diaAccueil_principal,41075
18,A9diaAccueil_principal,42086
19,A9diaAccueil_principal,40886
20,A9diaAccueil_principal,40453
21,A9diaAccueil_principal,39252
22,A9diaAccueil_principal,34577
23,A9diaAccueil_principal,25401
0,2c_DC,0
