category,group,measure
0,All,739419
1,All,951347
2,All,1259999
3,All,1029622
4,All,1380635
5,All,1218745
6,All,1589096
0,Facebook,172376
1,Facebook,165568
2,Facebook,171117
3,Facebook,182275
4,Facebook,184468
5,Facebook,165630
6,Facebook,128204
0,Hlavn%C3%AD_strana,131475
1,Hlavn%C3%AD_strana,165204
2,Hlavn%C3%AD_strana,167785
3,Hlavn%C3%AD_strana,163009
4,Hlavn%C3%AD_strana,171621
5,Hlavn%C3%AD_strana,146676
6,Hlavn%C3%AD_strana,104340
0,AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,5175
1,AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,60967
2,AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,132902
3,AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,135922
4,AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,143385
5,AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,144619
6,AV%E5%A5%B3%E5%84%AA%E4%B8%80%E8%A6%A7,200173
0,William_Shakespeare,28530
1,William_Shakespeare,34864
2,William_Shakespeare,34667
3,William_Shakespeare,27391
4,William_Shakespeare,27227
5,William_Shakespeare,336920
6,William_Shakespeare,330889
0,Pete_Postlethwaite,12255
1,Pete_Postlethwaite,17535
2,Pete_Postlethwaite,42606
3,Pete_Postlethwaite,196202
4,Pete_Postlethwaite,501827
0,New_Year%27s_Day,213
1,New_Year%27s_Day,848
2,New_Year%27s_Day,1522
3,New_Year%27s_Day,4689
4,New_Year%27s_Day,10297
5,New_Year%27s_Day,135376
6,New_Year%27s_Day,586763
0,List_of_common_misconceptions,112556
1,List_of_common_misconceptions,216782
2,List_of_common_misconceptions,409105
0,Ana_Sayfa,86320
1,Ana_Sayfa,115761
2,Ana_Sayfa,112956
3,Ana_Sayfa,111353
4,Ana_Sayfa,114722
5,Ana_Sayfa,107750
6,Ana_Sayfa,87822
0,Mark_Zuckerberg,93413
1,Mark_Zuckerberg,77286
2,Mark_Zuckerberg,89753
3,Mark_Zuckerberg,112777
4,Mark_Zuckerberg,131741
5,Mark_Zuckerberg,92264
6,Mark_Zuckerberg,64777
0,Ngai.cc,97106
1,Ngai.cc,96532
2,Ngai.cc,97586
3,Ngai.cc,96004
4,Ngai.cc,95347
5,Ngai.cc,89510
6,Ngai.cc,86128
