category,group,measure
2008,All,5
2009,All,10
2010,All,4
2011,All,7
2012,All,9
2013,All,10
2014,All,8
2015,All,10
2016,All,9
2017,All,5
2018,All,6
2019,All,8
2020,All,3
2021,All,2
2022,All,3
2023,All,7
2024,All,10
2025,All,1
2026,All,3
2027,All,5
2028,All,9
2029,All,3
2030,All,4
2031,All,0
2032,All,8
2033,All,9
2034,All,2
2035,All,4
2036,All,1
2037,All,0
2008,en,4
2009,en,4
2010,en,10
2011,en,5
2012,en,9
2013,en,1
2014,en,10
2015,en,1
2016,en,7
2017,en,6
2018,en,9
2019,en,4
2020,en,6
2021,en,1
2022,en,9
2023,en,9
2024,en,1
2025,en,9
2026,en,5
2027,en,0
2028,en,0
2029,en,9
2030,en,5
2031,en,1
2032,en,10
2033,en,0
2034,en,10
2035,en,4
2036,en,7
2037,en,8
2008,Special:Random,0
2009,Special:Random,7
2010,Special:Random,10
2011,Special:Random,6
2012,Special:Random,6
2013,Special:Random,8
2014,Special:Random,0
2015,Special:Random,6
2016,Special:Random,5
2017,Special:Random,6
2018,Special:Random,6
2019,Special:Random,6
2020,Special:Random,10
2021,Special:Random,7
2022,Special:Random,4
2023,Special:Random,5
2024,Special:Random,3
2025,Special:Random,9
2026,Special:Random,6
2027,Special:Random,0
2028,Special:Random,7
2029,Special:Random,0
2030,Special:Random,1
2031,Special:Random,8
2032,Special:Random,1
2033,Special:Random,7
2034,Special:Random,6
2035,Special:Random,8
2036,Special:Random,2
2037,Special:Random,2
2008,Main_Page,6
2009,Main_Page,3
2010,Main_Page,6
2011,Main_Page,7
2012,Main_Page,10
2013,Main_Page,3
2014,Main_Page,7
2015,Main_Page,4
2016,Main_Page,5
2017,Main_Page,1
2018,Main_Page,3
2019,Main_Page,9
2020,Main_Page,3
2021,Main_Page,7
2022,Main_Page,5
2023,Main_Page,6
2024,Main_Page,7
2025,Main_Page,9
2026,Main_Page,3
2027,Main_Page,3
2028,Main_Page,1
2029,Main_Page,8
2030,Main_Page,10
2031,Main_Page,6
2032,Main_Page,0
2033,Main_Page,1
2034,Main_Page,10
2035,Main_Page,2
2036,Main_Page,0
2037,Main_Page,1
2008,Special:Search,1
2009,Special:Search,1
2010,Special:Search,10
2011,Special:Search,7
2012,Special:Search,5
2013,Special:Search,7
2014,Special:Search,0
2015,Special:Search,5
2016,Special:Search,7
2017,Special:Search,5
2018,Special:Search,6
2019,Special:Search,9
2020,Special:Search,6
2021,Special:Search,9
2022,Special:Search,4
2023,Special:Search,10
2024,Special:Search,8
2025,Special:Search,8
2026,Special:Search,9
2027,Special:Search,8
2028,Special:Search,10
2029,Special:Search,4
2030,Special:Search,7
2031,Special:Search,10
2032,Special:Search,10
2033,Special:Search,3
2034,Special:Search,1
2035,Special:Search,1
2036,Special:Search,2
2037,Special:Search,1
2008,ja,2
2009,ja,9
2010,ja,8
2011,ja,9
2012,ja,3
2013,ja,8
2014,ja,1
2015,ja,3
2016,ja,5
2017,ja,8
2018,ja,0
2019,ja,8
2020,ja,8
2021,ja,9
2022,ja,6
2023,ja,1
2024,ja,10
2025,ja,4
2026,ja,6
2027,ja,7
2028,ja,8
2029,ja,3
2030,ja,5
2031,ja,7
2032,ja,0
2033,ja,2
2034,ja,10
2035,ja,1
2036,ja,0
2037,ja,3
2008,fr,6
2009,fr,6
2010,fr,6
2011,fr,3
2012,fr,0
2013,fr,7
2014,fr,10
2015,fr,1
2016,fr,5
2017,fr,2
2018,fr,2
2019,fr,5
2020,fr,2
2021,fr,6
2022,fr,2
2023,fr,5
2024,fr,3
2025,fr,1
2026,fr,3
2027,fr,9
2028,fr,6
2029,fr,0
2030,fr,5
2031,fr,2
2032,fr,9
2033,fr,3
2034,fr,5
2035,fr,10
2036,fr,5
2037,fr,1
2008,de,5
2009,de,10
2010,de,6
2011,de,6
2012,de,2
2013,de,3
2014,de,7
2015,de,7
2016,de,3
2017,de,5
2018,de,4
2019,de,2
2020,de,10
2021,de,10
2022,de,10
2023,de,7
2024,de,8
2025,de,1
2026,de,4
2027,de,4
2028,de,10
2029,de,6
2030,de,8
2031,de,3
2032,de,7
2033,de,8
2034,de,10
2035,de,8
2036,de,5
2037,de,2
2008,Heart_sounds,10
2009,Heart_sounds,7
2010,Heart_sounds,9
2011,Heart_sounds,6
2012,Heart_sounds,3
2013,Heart_sounds,9
2014,Heart_sounds,8
2015,Heart_sounds,10
2016,Heart_sounds,9
2017,Heart_sounds,0
2018,Heart_sounds,6
2019,Heart_sounds,9
2020,Heart_sounds,4
2021,Heart_sounds,9
2022,Heart_sounds,6
2023,Heart_sounds,10
2024,Heart_sounds,6
2025,Heart_sounds,8
2026,Heart_sounds,9
2027,Heart_sounds,7
2028,Heart_sounds,3
2029,Heart_sounds,2
2030,Heart_sounds,2
2031,Heart_sounds,9
2032,Heart_sounds,6
2033,Heart_sounds,2
2034,Heart_sounds,2
2035,Heart_sounds,4
2036,Heart_sounds,6
2037,Heart_sounds,8
2008,es,4
2009,es,10
2010,es,0
2011,es,9
2012,es,1
2013,es,4
2014,es,3
2015,es,7
2016,es,1
2017,es,2
2018,es,9
2019,es,5
2020,es,4
2021,es,7
2022,es,7
2023,es,7
2024,es,7
2025,es,1
2026,es,0
2027,es,0
2028,es,5
2029,es,6
2030,es,6
2031,es,9
2032,es,7
2033,es,10
2034,es,7
2035,es,2
2036,es,10
2037,es,3
2008,Wikipedia:Portada,1
2009,Wikipedia:Portada,0
2010,Wikipedia:Portada,8
2011,Wikipedia:Portada,7
2012,Wikipedia:Portada,0
2013,Wikipedia:Portada,6
2014,Wikipedia:Portada,7
2015,Wikipedia:Portada,10
2016,Wikipedia:Portada,4
2017,Wikipedia:Portada,6
2018,Wikipedia:Portada,0
2019,Wikipedia:Portada,0
2020,Wikipedia:Portada,6
2021,Wikipedia:Portada,8
2022,Wikipedia:Portada,6
2023,Wikipedia:Portada,9
2024,Wikipedia:Portada,8
2025,Wikipedia:Portada,5
2026,Wikipedia:Portada,1
2027,Wikipedia:Portada,9
2028,Wikipedia:Portada,2
2029,Wikipedia:Portada,3
2030,Wikipedia:Portada,6
2031,Wikipedia:Portada,9
2032,Wikipedia:Portada,5
2033,Wikipedia:Portada,3
2034,Wikipedia:Portada,2
2035,Wikipedia:Portada,8
2036,Wikipedia:Portada,5
2037,Wikipedia:Portada,6
