category,group,measure
0,All,819697
1,All,714480
2,All,732286
3,All,858287
4,All,1054242
5,All,909060
6,All,980321
7,All,879534
8,All,750943
9,All,765701
10,All,899186
11,All,943558
12,All,945948
13,All,1003458
14,All,935622
15,All,866047
16,All,889466
17,All,1171431
18,All,3530749
19,All,1185223
20,All,1205709
21,All,1177659
22,All,1324232
23,All,1444357
24,All,1560355
25,All,1572587
26,All,1305657
27,All,1234604
28,All,1144005
29,All,970795
0,Facebook,262965
1,Facebook,220943
2,Facebook,238767
3,Facebook,283965
4,Facebook,348778
5,Facebook,202825
6,Facebook,218571
7,Facebook,202978
8,Facebook,180175
9,Facebook,186680
10,Facebook,208609
11,Facebook,207749
12,Facebook,216139
13,Facebook,244660
14,Facebook,220089
15,Facebook,206947
16,Facebook,207814
17,Facebook,216023
18,Facebook,238548
19,Facebook,257156
20,Facebook,289128
21,Facebook,219598
22,Facebook,217737
23,Facebook,264312
24,Facebook,223041
25,Facebook,221988
26,Facebook,231218
27,Facebook,205412
28,Facebook,204345
29,Facebook,151771
0,Hlavn%C3%AD_strana,125036
1,Hlavn%C3%AD_strana,96732
2,Hlavn%C3%AD_strana,94992
3,Hlavn%C3%AD_strana,118863
4,Hlavn%C3%AD_strana,139013
5,Hlavn%C3%AD_strana,146678
6,Hlavn%C3%AD_strana,143981
7,Hlavn%C3%AD_strana,132302
8,Hlavn%C3%AD_strana,101915
9,Hlavn%C3%AD_strana,113948
10,Hlavn%C3%AD_strana,147819
11,Hlavn%C3%AD_strana,147625
12,Hlavn%C3%AD_strana,150273
13,Hlavn%C3%AD_strana,157822
14,Hlavn%C3%AD_strana,143663
15,Hlavn%C3%AD_strana,116643
16,Hlavn%C3%AD_strana,118319
17,Hlavn%C3%AD_strana,151676
18,Hlavn%C3%AD_strana,165915
19,Hlavn%C3%AD_strana,166516
20,Hlavn%C3%AD_strana,165216
21,Hlavn%C3%AD_strana,158025
22,Hlavn%C3%AD_strana,125491
23,Hlavn%C3%AD_strana,124354
24,Hlavn%C3%AD_strana,165123
