category,group,measure
0,All,357290
1,All,350747
2,All,488047
3,All,350940
4,All,401094
5,All,342318
6,All,331429
7,All,328442
8,All,316874
9,All,377404
10,All,436623
11,All,618449
12,All,705978
13,All,775060
14,All,767696
15,All,754423
16,All,743045
17,All,753612
18,All,766184
19,All,759124
20,All,767591
21,All,763073
22,All,760147
23,All,490783
0,A_K_Peters%2c_Ltd,186792
1,A_K_Peters%2c_Ltd,186136
2,A_K_Peters%2c_Ltd,174507
3,A_K_Peters%2c_Ltd,185160
4,A_K_Peters%2c_Ltd,184045
5,A_K_Peters%2c_Ltd,184717
6,A_K_Peters%2c_Ltd,186395
7,A_K_Peters%2c_Ltd,188158
8,A_K_Peters%2c_Ltd,184099
9,A_K_Peters%2c_Ltd,183051
10,A_K_Peters%2c_Ltd,214103
11,A_K_Peters%2c_Ltd,393421
12,A_K_Peters%2c_Ltd,481296
13,A_K_Peters%2c_Ltd,549218
14,A_K_Peters%2c_Ltd,541030
15,A_K_Peters%2c_Ltd,529958
16,A_K_Peters%2c_Ltd,521053
17,A_K_Peters%2c_Ltd,527772
18,A_K_Peters%2c_Ltd,534070
19,A_K_Peters%2c_Ltd,529627
20,A_K_Peters%2c_Ltd,536520
21,A_K_Peters%2c_Ltd,534278
22,A_K_Peters%2c_Ltd,533760
23,A_K_Peters%2c_Ltd,340863
0,Apple_Inc,93463
1,Apple_Inc,93403
2,Apple_Inc,87301
3,Apple_Inc,92788
4,Apple_Inc,92107
5,Apple_Inc,92720
6,Apple_Inc,93199
7,Apple_Inc,93941
8,Apple_Inc,91952
9,Apple_Inc,155710
10,Apple_Inc,183309
11,Apple_Inc,185550
12,Apple_Inc,184891
13,Apple_Inc,182867
14,Apple_Inc,180228
15,Apple_Inc,176696
16,Apple_Inc,173624
17,Apple_Inc,176301
18,Apple_Inc,178217
19,Apple_Inc,176205
20,Apple_Inc,178820
21,Apple_Inc,178166
22,Apple_Inc,177626
23,Apple_Inc,114051
0,The_Venture_Bros,31316
1,The_Venture_Bros,31194
2,The_Venture_Bros,29119
3,The_Venture_Bros,30888
4,The_Venture_Bros,30636
5,The_Venture_Bros,30886
6,The_Venture_Bros,30831
7,The_Venture_Bros,31463
8,The_Venture_Bros,30614
9,The_Venture_Bros,30514
10,The_Venture_Bros,30817
11,The_Venture_Bros,30803
12,The_Venture_Bros,30673
13,The_Venture_Bros,30511
14,The_Venture_Bros,30308
15,The_Venture_Bros,29357
16,The_Venture_Bros,29001
17,The_Venture_Bros,29367
18,The_Venture_Bros,29820
19,The_Venture_Bros,29675
20,The_Venture_Bros,29839
21,The_Venture_Bros,29677
22,The_Venture_Bros,29721
23,The_Venture_Bros,19002
0,Gary_Moore,596
1,Gary_Moore,334
2,Gary_Moore,242
3,Gary_Moore,246
4,Gary_Moore,366
5,Gary_Moore,680
6,Gary_Moore,362
7,Gary_Moore,732
8,Gary_Moore,396
9,Gary_Moore,503
10,Gary_Moore,510
11,Gary_Moore,491
12,Gary_Moore,391
13,Gary_Moore,401
14,Gary_Moore,300
15,Gary_Moore,307
16,Gary_Moore,313
17,Gary_Moore,429
18,Gary_Moore,544
19,Gary_Moore,415
20,Gary_Moore,341
21,Gary_Moore,373
22,Gary_Moore,297
23,Gary_Moore,235
0,Green_Bay_Packers,630
1,Green_Bay_Packers,367
2,Green_Bay_Packers,304
3,Green_Bay_Packers,300
4,Green_Bay_Packers,540
5,Green_Bay_Packers,1506
6,Green_Bay_Packers,854
7,Green_Bay_Packers,553
8,Green_Bay_Packers,250
9,Green_Bay_Packers,439
10,Green_Bay_Packers,509
11,Green_Bay_Packers,502
12,Green_Bay_Packers,549
13,Green_Bay_Packers,434
14,Green_Bay_Packers,395
15,Green_Bay_Packers,326
16,Green_Bay_Packers,325
17,Green_Bay_Packers,361
18,Green_Bay_Packers,281
19,Green_Bay_Packers,232
20,Green_Bay_Packers,216
21,Green_Bay_Packers,204
22,Green_Bay_Packers,215
23,Green_Bay_Packers,524
0,Super_Bowl_XLV,993
1,Super_Bowl_XLV,658
2,Super_Bowl_XLV,503
3,Super_Bowl_XLV,290
4,Super_Bowl_XLV,317
5,Super_Bowl_XLV,342
6,Super_Bowl_XLV,540
7,Super_Bowl_XLV,1100
8,Super_Bowl_XLV,1199
9,Super_Bowl_XLV,1075
10,Super_Bowl_XLV,971
11,Super_Bowl_XLV,1064
12,Super_Bowl_XLV,1100
13,Super_Bowl_XLV,1061
14,Super_Bowl_XLV,858
15,Super_Bowl_XLV,701
16,Super_Bowl_XLV,709
17,Super_Bowl_XLV,777
18,Super_Bowl_XLV,930
19,Super_Bowl_XLV,923
20,Super_Bowl_XLV,867
21,Super_Bowl_XLV,703
22,Super_Bowl_XLV,604
23,Super_Bowl_XLV,477
0,Super_Bowl,792
1,Super_Bowl,347
2,Super_Bowl,1340
3,Super_Bowl,846
4,Super_Bowl,1030
5,Super_Bowl,293
6,Super_Bowl,370
7,Super_Bowl,752
8,Super_Bowl,448
9,Super_Bowl,642
10,Super_Bowl,219
11,Super_Bowl,225
12,Super_Bowl,275
13,Super_Bowl,350
14,Super_Bowl,378
15,Super_Bowl,369
16,Super_Bowl,407
17,Super_Bowl,484
18,Super_Bowl,373
19,Super_Bowl,381
20,Super_Bowl,361
21,Super_Bowl,263
22,Super_Bowl,280
23,Super_Bowl,241
0,The_Black_Eyed_Peas,508
1,The_Black_Eyed_Peas,439
2,The_Black_Eyed_Peas,202
3,The_Black_Eyed_Peas,1298
4,The_Black_Eyed_Peas,979
5,The_Black_Eyed_Peas,1626
6,The_Black_Eyed_Peas,1029
7,The_Black_Eyed_Peas,737
8,The_Black_Eyed_Peas,439
9,The_Black_Eyed_Peas,288
10,The_Black_Eyed_Peas,1595
11,The_Black_Eyed_Peas,1671
12,The_Black_Eyed_Peas,204
13,The_Black_Eyed_Peas,212
14,The_Black_Eyed_Peas,289
15,The_Black_Eyed_Peas,266
16,The_Black_Eyed_Peas,276
17,The_Black_Eyed_Peas,313
18,The_Black_Eyed_Peas,387
19,The_Black_Eyed_Peas,416
20,The_Black_Eyed_Peas,459
21,The_Black_Eyed_Peas,421
22,The_Black_Eyed_Peas,389
23,The_Black_Eyed_Peas,283
0,List_of_Super_Bowl_champions,38703
1,List_of_Super_Bowl_champions,33532
2,List_of_Super_Bowl_champions,22915
3,List_of_Super_Bowl_champions,26253
4,List_of_Super_Bowl_champions,79370
5,List_of_Super_Bowl_champions,18862
6,List_of_Super_Bowl_champions,10656
7,List_of_Super_Bowl_champions,6612
8,List_of_Super_Bowl_champions,4757
9,List_of_Super_Bowl_champions,3390
10,List_of_Super_Bowl_champions,3099
11,List_of_Super_Bowl_champions,3118
12,List_of_Super_Bowl_champions,4029
13,List_of_Super_Bowl_champions,6103
14,List_of_Super_Bowl_champions,8145
15,List_of_Super_Bowl_champions,9084
16,List_of_Super_Bowl_champions,9328
17,List_of_Super_Bowl_champions,9287
18,List_of_Super_Bowl_champions,8945
19,List_of_Super_Bowl_champions,7963
20,List_of_Super_Bowl_champions,7458
21,List_of_Super_Bowl_champions,7375
22,List_of_Super_Bowl_champions,6893
23,List_of_Super_Bowl_champions,5805
0,Fergie_(singer),3497
1,Fergie_(singer),4337
